rodada;qtd_amostra;execucao;tmp_total;tmp_python;origem
9;512000;2;46576;42.9067885875702;SQL_Server
9;512000;3;47190;43.5161709785461;SQL_Server
9;512000;4;46064;42.3755304813385;SQL_Server
9;512000;5;45920;42.2661542892456;SQL_Server
9;512000;6;44986;41.2973928451538;SQL_Server
9;512000;7;47517;43.8130495548248;SQL_Server
9;512000;8;46873;43.2036666870117;SQL_Server
9;512000;9;46050;42.3755309581757;SQL_Server
9;512000;10;45187;41.5317707061768;SQL_Server
9;512000;11;46813;43.0942902565002;SQL_Server
9;512000;12;46860;43.1880416870117;SQL_Server
9;512000;13;45860;42.17240691185;SQL_Server
9;512000;14;45577;41.9067759513855;SQL_Server
9;512000;15;48080;44.4224321842194;SQL_Server
9;512000;16;46860;43.2036671638489;SQL_Server
9;512000;17;46080;42.3130300045013;SQL_Server
9;512000;18;45983;42.3442809581757;SQL_Server
9;512000;19;46470;42.7661609649658;SQL_Server
9;512000;20;47924;44.2349298000336;SQL_Server
9;512000;21;45843;42.1099030971527;SQL_Server
9;512000;22;45157;41.500519990921;SQL_Server
9;512000;23;47064;43.4224195480347;SQL_Server
9;512000;24;46703;43.0005393028259;SQL_Server
9;512000;25;46640;42.8755371570587;SQL_Server
9;512000;26;45220;41.5473959445953;SQL_Server
9;512000;27;47657;43.984926700592;SQL_Server
9;512000;28;47546;43.8599257469177;SQL_Server
9;512000;29;45844;42.1880285739899;SQL_Server
9;512000;30;45770;42.0786530971527;SQL_Server
9;512000;31;47076;43.4067943096161;SQL_Server
9;512000;32;46860;43.1411657333374;SQL_Server
9;512000;33;46250;42.5786588191986;SQL_Server
9;512000;34;46580;42.9067902565002;SQL_Server
9;512000;35;47500;43.8286743164063;SQL_Server
9;512000;36;46080;42.3755316734314;SQL_Server
9;512000;37;46110;42.43803191185;SQL_Server
9;512000;38;45814;42.1255283355713;SQL_Server
9;512000;39;46030;42.3755316734314;SQL_Server
9;512000;40;46656;42.9380385875702;SQL_Server
9;512000;41;46657;43.0317900180817;SQL_Server
